1,0 to 5,9394890,0.057,8963309,0.053
2,5 to 9,10110917,0.061,9659397,0.057
3,10 to 14,10892415,0.066,10327799,0.061
4,15 to 19,11167522,0.068,10618136,0.063
5,20 to 24,11488577,0.07,10957463,0.065
6,25 to 29,11245260,0.068,10762368,0.064
7,30 to 34,11785090,0.071,11440546,0.068
8,35 to 39,11322522,0.069,11013337,0.066
9,40 to 44,10939843,0.066,10771942,0.064
10,45 to 49,9853198,0.06,9787727,0.058
11,50 to 54,10447394,0.063,10388127,0.062
12,55 to 59,10163454,0.062,10390161,0.062
13,60 to 64,10492488,0.064,11081365,0.066
14,65 to 69,8798968,0.053,9760529,0.058
15,70 to 74,7149850,0.043,8188725,0.049
16,75 to 79,4901587,0.03,6103874,0.036
17,80 to 84,2861152,0.017,3897687,0.023
18,85+,2213087,0.013,3946856,0.023
